"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "SQL", "HTML", "comment", "blank", "total"
"/home/tomeczku/repos/webflix-college-project-git/js/webflix_movie_page_handler.js", "JavaScript", 367, 0, 0, 0, 0, 0, 27, 41, 435
"/home/tomeczku/repos/webflix-college-project-git/js/webflix_show_page_handler.js", "JavaScript", 443, 0, 0, 0, 0, 0, 30, 59, 532
"/home/tomeczku/repos/webflix-college-project-git/localhost.session.sql", "SQL", 0, 0, 0, 0, 3, 0, 0, 0, 3
"/home/tomeczku/repos/webflix-college-project-git/login.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 16, 72
"/home/tomeczku/repos/webflix-college-project-git/movies.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 11, 39
"/home/tomeczku/repos/webflix-college-project-git/series.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 11, 39
"/home/tomeczku/repos/webflix-college-project-git/subscribe.php", "PHP", 0, 215, 0, 0, 0, 0, 0, 34, 249
"/home/tomeczku/repos/webflix-college-project-git/webflix_movie.php", "PHP", 0, 161, 0, 0, 0, 0, 0, 21, 182
"/home/tomeczku/repos/webflix-college-project-git/webflix_show.php", "PHP", 0, 161, 0, 0, 0, 0, 0, 21, 182
"Total", "-", 2631, 4451, 2058, 39, 3, 66, 343, 1375, 10966
